"Precinct_name","Contest_title","candidate_name","Party_Code","total_votes"
"140","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","2"
"140","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","0"
"146","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","153"
"146","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","103"
"147","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","41"
"147","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","40"
"151","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","49"
"151","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","64"
"152","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","34"
"152","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","39"
"162","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","75"
"162","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","63"
"186","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","79"
"186","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","74"
"189","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","81"
"189","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","106"
"197","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","65"
"197","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","81"
"198","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","0"
"198","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","1"
"218","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","207"
"218","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","207"
"266","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","2"
"266","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","7"
"274","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","138"
"274","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","129"
"275","PROPOSITION 1, CITY OF AUSTIN","Against the Ordinance","","141"
"275","PROPOSITION 1, CITY OF AUSTIN","For the Ordinance","","111"
